genre,category,age_group,option_a_en,option_b_en,option_a_fr,option_b_fr,option_a_es,option_b_es
Choice Chaos,silly,3-6,Have spaghetti hair 🍝,Have pickle fingers,Avoir des cheveux en spaghetti 🍝,Avoir des doigts en cornichon,Tener cabello de espaguetis 🍝,Tener dedos de pepinillo
Choice Chaos,silly,3-6,Speak only in hiccups,Speak only in whispers,Parler uniquement en hoquets,Parler uniquement en chuchotements,Hablar solo con hipo 🤭,Hablar solo en susurros
Choice Chaos,silly,3-6,Bounce everywhere like a ball,Roll everywhere like a log,Rebondir partout comme une balle,Rouler partout comme une bûche,Rebotar por todas partes como una pelota 🏀,Rodar por todas partes como un tronco
Choice Chaos,silly,3-6,Have a clown nose that honks,Have shoes that squeak,Avoir un nez de clown qui klaxonne,Avoir des chaussures qui couinent,Tener un payaso que suena la bocina 🔴,Tener zapatos que crujen
Choice Chaos,deep,3-6,Live in a treehouse 🏡,Live in a cloud castle,Vivre dans une cabane dans les arbres 🏡,Vivre dans un château dans les nuages,Vivir en una casa en el árbol 🏡,Vivir en un castillo en las nubes
Choice Chaos,deep,3-6,Be really fast 🏃,Be really strong 💪,Être super rapide 🏃,Être super fort 💪,Ser súper rápido 🏃,Ser súper fuerte 💪
Choice Chaos,deep,3-6,Have a pet dragon 🐉,Have a pet unicorn 🦄,Avoir un dragon comme animal de compagnie 🐉,Avoir une licorne comme animal de compagnie 🦄,Tener una mascota dragón 🐉,Tener una mascota unicornio 🦄
Choice Chaos,deep,3-6,Be a grown-up for a day,Be a baby again for a day,Être un adulte pendant un jour,Être un bébé pendant un jour,Ser un adulto por un día,Ser un bebé otra vez por un día
Choice Chaos,food,3-6,Eat only chocolate 🍫,Eat only pizza 🍕,Manger uniquement du chocolat 🍫,Manger uniquement de la pizza 🍕,Comer solo chocolate 🍫,Comer solo pizza 🍕
Choice Chaos,food,3-6,Have candy for breakfast 🍬,Have cake for dinner 🎂,Avoir des bonbons au petit-déjeuner 🍬,Avoir un gâteau au dîner 🎂,Tener dulces en el desayuno 🍬,Tener pastel en la cena 🎂
Choice Chaos,food,3-6,Only drink juice 🧃,Only drink milk 🥛,Boire uniquement du jus 🧃,Boire uniquement du lait 🥛,Beber solo jugo 🧃,Beber solo leche 🥛
Choice Chaos,food,3-6,Have fingers that smells like cookies 🍪,Have fingers that taste like strawberries 🍓,Avoir des doigts qui sentent les cookies 🍪,Avoir des doigts saveur fraise 🍓,Tener dedos que huelen a galletas 🍪,Tener dedos que saben a fresa 🍓
Choice Chaos,animals,3-6,Be a cat 🐱,Be a dog 🐶,Être un chat 🐱,Être un chien 🐶,Ser un gato 🐱,Ser un perro 🐶
Choice Chaos,animals,3-6,Have butterfly wings 🦋,Have fish fins 🐟,Avoir des ailes de papillon 🦋,Avoir des nageoires de poisson 🐟,Tener alas de mariposa 🦋,Tener aletas de pez 🐟
Choice Chaos,animals,3-6,Swim like a dolphin 🐬,Fly like a bird 🐦,Nager comme un dauphin 🐬,Voler comme un oiseau 🐦,Nadar como un delfín 🐬,Volar como un pájaro 🐦
Choice Chaos,animals,3-6,Have a tail like a monkey 🐒,Have ears like a bunny 🐰,Avoir une queue de singe 🐒,Avoir des oreilles de lapin 🐰,Tener cola de mono 🐒,Tener orejas de conejo 🐰
Choice Chaos,superpower,3-6,Fly like a bird ✈️,Swim like a fish 🐠,Voler comme un oiseau ✈️,Nager comme un poisson 🐠,Volar como un pájaro ✈️,Nadar como un pez 🐠
Choice Chaos,superpower,3-6,Be invisible 👻,Be really loud 🔊,Être invisible tout le temps 👻,Faire beaucoup de bruit tout le temps🔊,Ser invisible 👻,Ser súper ruidoso 🔊
Choice Chaos,superpower,3-6,Talk to animals 🗣️,Talk to plants 🌱,Parler aux animaux 🗣️,Parler aux plantes 🌱,Hablar con los animales 🗣️,Hablar con las plantas 🌱
Choice Chaos,superpower,3-6,Shrink really small 🐜,Grow really big 🦒,Devenir petit comme une fourmie 🐜,Devenir grand comme une girage🦒,Encogerse mucho 🐜,Crecer mucho 🦒
Choice Chaos,gross,3-6,Burp really loud 💨,Fart in the bathtub 🛁,Roter dans le vent 💨,Péter dans le bain 🛁,Erutar muy fuerte 💨,Tirarse un pedo en la bañera 🛁
Choice Chaos,gross,3-6,Eat mud pies 🍩,Drink swamp water 🥤,Manger de la terre 🍩,Boire de l'eau d’un marécage 🥤,Comer pastas de barro 🍩,Beber agua de pantano 🥤
Choice Chaos,gross,3-6,Have stinky feet 👃,Have sticky hands 🤲,Avoir les pieds qui puent 👃,Avoir les mains collantes 🤲,Tener pies que huelen 👃,Tener manos pegajosas 🤲
Choice Chaos,gross,3-6,Wipe your nose on your sleeve 🤧,Pick your nose in class 👃,Se moucher sur sa manche 🤧,Se curer le nez en classe 👃,Sonarse la manga 🤧,Elegirse la nariz en clase 👃
Choice Chaos,adventure,3-6,Explore a dark cave 🔦,Climb a tall mountain ⛰️,Explorer une grotte sombre 🔦,Grimper sur une haute montagne ⛰️,Explorar una cueva oscura 🔦,Escalar una montaña alta ⛰️
Choice Chaos,adventure,3-6,Find buried treasure 💎,Find a secret door 🚪,Trouver un trésor enfoui 💎,Trouver une porte secrète 🚪,Encontrar un tesoro enterrado 💎,Encontrar una puerta secreta 🚪
Choice Chaos,adventure,3-6,Ride a rocket to the moon 🚀,Sail a pirate ship 🏴‍☠️,Prendre une fusée pour la lune 🚀,Naviguer sur un bateau pirate 🏴‍☠️,Viajar en cohete a la luna 🚀,Navegar en un barco pirata 🏴‍☠️
Choice Chaos,adventure,3-6,Live on a houseboat 🚤,Live in a lighthouse 🏠,Vivre sur une péniche 🚤,Vivre dans un phare 🏠,Vivir en una casa barco 🚤,Vivir en un faro 🏠
Choice Chaos,school,3-6,Have recess all day long 🛝,Have art class all day long 🎨,Avoir récréation toute la journée 🛝,Avoir des activités artistiques toute la journée 🎨,Tener recreo todo el día 🛝,Tener clase de arte todo el día 🎨
Choice Chaos,school,3-6,Your teacher is a clown 🤡,Your teacher is a superhero 🦸,Ton professeur est un clown 🤡,Ton professeur est un super-héros 🦸,Tu maestro es un payaso 🤡,Tu maestro es un superhéroe 🦸
Choice Chaos,school,3-6,Read books under a blanket 📚,Draw pictures all day ✏️,Lire sous une couverture 📚,Dessiner toute la journée ✏️,Leer libros bajo una manta 📚,Dibujar todo el día ✏️
Choice Chaos,school,3-6,Bring your pet to school 🐾,Bring your favorite toy to school 🧸,Amener ton animal à l'école 🐾,Amener ton jouet préféré à l'école 🧸,Llevar tu mascota a la escuela 🐾,Llevar tu juguete favorito a la escuela 🧸
Choice Chaos,silly,7-10,Have fingers as long as your arm 💪,Have toes as long as your fingers 🦶,Avoir des doigts aussi longs que ton bras 💪,Avoir des orteils aussi longs que tes doigts 🦶,Tener dedos tan largos como tu brazo 💪,Tener dedos de los pies tan largos como tus dedos 🦶
